Date,Product,Category,Price,Quantity Sold,Total Sales
2026-01-02,Wireless Mouse,Electronics,25.5,12,306.0
2026-01-02,Ergonomic Office Chair,Furniture,150.0,3,450.0
2026-01-03,Stainless Steel Water Bottle,Home & Kitchen,18.25,25,456.25
2026-01-04,Bluetooth Headphones,Electronics,79.99,8,639.92
2026-01-05,Mechanical Keyboard,Electronics,89.0,5,445.0
2026-01-05,Standing Desk,Furniture,299.99,2,599.98
2026-01-06,Non-Stick Frying Pan,Home & Kitchen,34.5,10,345.0
2026-01-07,USB-C Hub,Electronics,22.99,15,344.85
2026-01-08,LED Desk Lamp,Home & Kitchen,28.75,7,201.25
2026-01-09,Running Shoes,Apparel,65.0,6,390.0
